"l","m","n","a","omega1"
1,-1,0,0.55,"0.007166453168622987331047552626470289728868349026105046928942632073057 + 0.017908115390863872436566957361866417171060983142882359363368688312741i"
1,-1,0,0.6,"0.006688636049232798507403702918927232623279216042294418153454919169562 + 0.01908867886319531858171981673908052713441320079191203310690890780702i"
1,-1,0,0.65,"0.005945815612254320843455616576696702909712097143331362356384268492366 + 0.020112752063595118571111918132543604832023504390659639233286980740241i"
1,-1,0,0.7,"0.004927056196204007310181486766924139084672773110185897626715922007816 + 0.020921959877749922850599820661304662980221020040624217401410470704974i"
1,-1,0,0.75,"0.003638342854758243942150013067021498331365831900674472885127291376104 + 0.021439083424165200836919989648427137031271343134728014362187127061677i"
1,-1,0,0.8,"0.002117322212547426448289519323246682492773608620855276669739254272302 + 0.02157067468400897167773459334165251769456354705502025727564983795603i"
1,-1,0,0.85,"0.000452176612664538227876283881585699251620044268053130379358338836269 + 0.021222190780144808278823845910192906479283539327206325644858455546087i"
1,-1,0,0.9,"-0.001208152548451533013769856804232195486626840440684589198684465867027 + 0.02033721582512584602082091683248620618226442915004007472652185201396i"
1,-1,0,0.91,"-0.001523800525843097405339211986486988732279553598349110451559000295628 + 0.020097259796902986872468153656850601666098095339439045553518891129222i"
1,-1,0,0.92,"-0.001830911696609066401598246430680898047648575130687391812236492358093 + 0.019838089316014271130619621558707712254639307689055320333084060409153i"
1,-1,0,0.93,"-0.002128562609419651596370752853136186943702852460402757028817028125099 + 0.019560894250747319105013132820498099807808426151010047268374180584157i"
1,-1,0,0.94,"-0.002416175455276269407782818739340539870459420692589100581954678812981 + 0.019267023725001452814044663595468164850247932814529802421555893172656i"
1,-1,0,0.95,"-0.00269362513560051127043808101116355057931589073061461570904356636752 + 0.01895791840423509247175235711699023405117733657844562639359326923044i"
1,-1,0,0.96,"-0.00296137992046541857298728676635401166504091545213967306780333749693 + 0.01863501610337557481175860745797556701625183954395278780185090280252i"
1,-1,0,0.97,"-0.00322070825561932745483387024257116891064596745105643254447134971071 + 0.01829961835585754412504696654006917198295381248399610362868376340822i"
1,-1,0,0.98,"-0.00347418052126330027650033720269404941945666615138085126647531457245 + 0.01795261910802073017296005439177941717940450754455889409248898970051i"
1,-1,0,0.99,"-0.0037229026199949494647607468732124244694199558839298083352178786663 + 0.017593398228844246941003321549723729535694156722742893896953456004i"
1,0,0,0.05,"-0.000011993344539442770306176279845054606988021292287059885341734574912773 + 0.000024464392738480646874044990344898057142147949256951716241195762869611i"
1,0,0,0.1,"-0.000047224098693604369970055899849373759816209108794056504227997947023271 + 0.000098210972944999335111405709752723404086512482106671302558480831627819i"
1,0,0,0.15,"-0.00010338234970509159052913316423647298905729923552495413560512374640142 + 0.00022232288129506969371840308605704960680017719424963261776802394574224i"
